Order_ID,Customer_ID,Order_Date,City,Area,Food_Category,Restaurant_Type,Payment_Method,Order_Amount,Delivery_Minutes,Rating,Promo_Used
ORD00001,CUST0001,2026-05-03,Karachi,Gulshan-e-Iqbal,Chinese,Fast Food,Card,1420,55,3,No
ORD00002,CUST0002,2026-05-02,Karachi,Clifton,Chinese,Casual Dining,Card,1880,51,3,No
ORD00003,CUST0003,2026-05-08,Lahore,Wapda Town,Healthy,Casual Dining,Cash,1090,55,1,No
ORD00004,CUST0004,2026-05-26,Islamabad,Blue Area,Burgers,Cloud Kitchen,Card,1050,36,4,Yes
ORD00005,CUST0005,2026-05-14,Lahore,Johar Town,Desi,Casual Dining,Card,1180,20,5,No
ORD00006,CUST0006,2026-05-10,Rawalpindi,Saddar,Desi,Fast Food,Wallet,1710,59,4,No
ORD00007,CUST0007,2026-05-02,Lahore,DHA Lahore,Bakery,Bakery,Cash,500,48,3,No
ORD00008,CUST0008,2026-05-29,Islamabad,F-10,Pizza,Casual Dining,Card,1050,20,5,No
ORD00009,CUST0009,2026-06-13,Karachi,Gulshan-e-Iqbal,Desi,Cloud Kitchen,Wallet,1550,18,3,Yes
ORD00010,CUST0010,2026-06-03,Karachi,DHA,Desi,Fast Food,Cash,1090,38,4,No
ORD00011,CUST0011,2026-05-15,Karachi,PECHS,Beverages,Cafe,Card,310,39,5,No
ORD00012,CUST0012,2026-05-02,Lahore,Johar Town,Beverages,Cafe,Card,500,23,3,Yes
ORD00013,CUST0013,2026-05-13,Karachi,Gulshan-e-Iqbal,Desi,Casual Dining,CARD,1610,31,4,No
ORD00014,CUST0014,2026-06-07,Lahore,Johar Town,Pizza,Fast Food,Cash,1050,33,3,Yes
ORD00015,CUST0015,2026-05-08,Karachi,DHA,Burgers,Fast Food,E-Wallet,1130,52,3,No
ORD00016,CUST0016,2026-05-16,Lahore,Gulberg,Healthy,Cafe,Cash,940,29,5,No
ORD00017,CUST0017,2026-05-25,Lahore,Gulberg,Beverages,Cloud Kitchen,Cash,470,27,5,No
ORD00018,CUST0018,2026-05-22,Karachi,Gulshan-e-Iqbal,Bakery,Cafe,Cash,870,46,3,No
ORD00019,CUST0019,2026-06-05,Islamabad,I-8,Pizza,Fast Food,Cash,1940,52,3,Yes
ORD00020,CUST0020,2026-05-24,Karachi,North Nazimabad,Pizza,Fast Food,Wallet,880,67,3,No
ORD00021,CUST0021,2026-06-02,Karachi,North Nazimabad,Healthy,Casual Dining,Cash,1060,49,4,Yes
ORD00022,CUST0022,2026-05-25,Karachi,North Nazimabad,Bakery,Bakery,Wallet,490,47,3,No
ORD00023,CUST0023,2026-05-20,Karachi,North Nazimabad,Desi,Cloud Kitchen,Card,1170,28,5,No
ORD00024,CUST0024,2026-05-13,Islamabad,Bahria Town ISB,Healthy,Cloud Kitchen,Cash,1360,33,5,No
ORD00025,CUST0025,2026-06-11,Karachi,Gulshan-e-Iqbal,Pizza,Cloud Kitchen,Cash,900,43,4,No
ORD00026,CUST0026,2026-06-01,Karachi,PECHS,Beverages,Cafe,Wallet,420,29,4,No
ORD00027,CUST0027,2026-05-10,Karachi,DHA,Burgers,Fast Food,Cash,890,55,3,No
ORD00028,CUST0028,2026-05-12,Karachi,North Nazimabad,Burgers,Fast Food,Wallet,950,61,3,No
ORD00029,CUST0029,2026-06-03,Islamabad,Blue Area,Burgers,Fast Food,Card,1340,36,4,Yes
ORD00030,CUST0030,2026-05-23,Lahore,DHA Lahore,Beverages,Cafe,Wallet,650,31,4,No
ORD00031,CUST0031,2026-06-07,Rawalpindi,Satellite Town,Chinese,Casual Dining,Cash,1360,59,1,No
ORD00032,CUST0032,2026-05-05,Lahore,Gulberg,Beverages,Cafe,Wallet,350,38,4,No
ORD00033,CUST0033,2026-06-06,Lahore,Wapda Town,Bakery,Bakery,Cash,870,58,3,No
ORD00034,CUST0034,2026-05-24,Karachi,Clifton,Bakery,Bakery,Card,560,34,5,No
ORD00035,CUST0035,2026-05-25,Islamabad,F-10,Bakery,Bakery,Cash,870,51,4,Yes
ORD00036,CUST0036,2026-06-03,Lahore,Gulberg,Burgers,Fast Food,Cash,1030,50,3,Yes
ORD00037,CUST0037,2026-06-05,Islamabad,Blue Area,Healthy,Casual Dining,Cash,990,33,4,No
ORD00038,CUST0038,2026-06-06,Lahore,Wapda Town,Healthy,Cloud Kitchen,Cash,710,42,4,No
ORD00039,CUST0039,2026-06-12,Karachi,Clifton,Bakery,Bakery,Wallet,380,54,3,No
ORD00040,CUST0040,2026-06-03,Karachi,Gulshan-e-Iqbal,Desi,Cloud Kitchen,Wallet,1250,30,5,No
ORD00041,CUST0041,2026-05-28,Karachi,North Nazimabad,Desi,Casual Dining,Cash,2110,37,4,No
ORD00042,CUST0042,2026-06-14,Karachi,North Nazimabad,Pizza,Cloud Kitchen,CARD,2170,60,3,No
ORD00043,CUST0043,2026-05-18,Lahore,Johar Town,Bakery,Bakery,Cash,400,69,3,Yes
ORD00044,CUST0044,2026-05-31,Karachi,North Nazimabad,Chinese,Cloud Kitchen,Wallet,1350,52,2,Yes
ORD00045,CUST0045,2026-06-01,Karachi,DHA,Pizza,Cloud Kitchen,Cash,2140,23,5,No
ORD00046,CUST0046,2026-05-09,Karachi,PECHS,Pizza,Fast Food,Card,1210,54,4,Yes
ORD00047,CUST0047,2026-05-31,Islamabad,Blue Area,Pizza,Cloud Kitchen,Card,1070,39,4,Yes
ORD00048,CUST0048,2026-05-28,Karachi,North Nazimabad,Burgers,Fast Food,CARD,900,36,4,Yes
ORD00049,CUST0049,2026-05-07,Islamabad,Bahria Town ISB,Healthy,Cloud Kitchen,Wallet,680,18,5,Yes
ORD00050,CUST0050,2026-05-20,Karachi,Gulshan-e-Iqbal,Chinese,Casual Dining,Wallet,1200,28,5,No
ORD00051,CUST0051,2026-05-27,Karachi,PECHS,Burgers,Fast Food,Card,1010,43,5,Yes
ORD00052,CUST0052,2026-05-29,Rawalpindi,Saddar,Chinese,Casual Dining,Cash,1550,72,3,Yes
ORD00053,CUST0053,2026-05-03,Karachi,Gulistan-e-Johar,Desi,Cloud Kitchen,Cash,830,59,3,Yes
ORD00054,CUST0054,2026-06-04,Karachi,North Nazimabad,Healthy,Cloud Kitchen,Cash,900,20,4,Yes
ORD00055,CUST0055,2026-06-10,Karachi,Gulshan-e-Iqbal,Desi,Casual Dining,Cash,1420,36,3,No
ORD00056,CUST0056,2026-05-19,Lahore,DHA Lahore,Desi,Casual Dining,Card,1400,32,2,No
ORD00057,CUST0057,2026-05-20,Karachi,PECHS,Chinese,Casual Dining,Wallet,2260,26,5,Yes
ORD00058,CUST0058,2026-06-06,Karachi,Clifton,Pizza,Casual Dining,Cash,1570,27,4,No
ORD00059,CUST0059,2026-05-28,Karachi,Gulshan-e-Iqbal,Beverages,Cafe,Cash,490,29,4,Yes
ORD00060,CUST0060,2026-05-22,Islamabad,Bahria Town ISB,Bakery,Bakery,Wallet,880,26,5,No
ORD00061,CUST0061,2026-05-29,Lahore,Johar Town,Desi,Casual Dining,Cash,1260,18,5,No
ORD00062,CUST0062,2026-05-13,Islamabad,F-10,Bakery,Bakery,Wallet,370,27,5,No
ORD00063,CUST0063,2026-05-20,Karachi,Clifton,Burgers,Fast Food,Cash,980,30,5,No
ORD00064,CUST0064,2026-06-08,Islamabad,I-8,Desi,Fast Food,Cash,1590,58,3,No
ORD00065,CUST0065,2026-05-29,Karachi,Gulistan-e-Johar,Burgers,Cloud Kitchen,Cash,1390,40,4,No
ORD00066,CUST0066,2026-05-06,Karachi,Gulshan-e-Iqbal,Desi,Cloud Kitchen,Card,1310,56,3,Yes
ORD00067,CUST0067,2026-06-02,Karachi,Clifton,Bakery,Bakery,Cash,590,35,5,No
ORD00068,CUST0068,2026-05-31,Rawalpindi,Saddar,Healthy,Cafe,Wallet,740,26,4,No
ORD00069,CUST0069,2026-05-21,Rawalpindi,Saddar,Healthy,Cafe,Cash,1280,40,4,No
ORD00070,CUST0070,2026-05-03,Lahore,Wapda Town,Healthy,Cafe,Cash,620,28,5,No
ORD00071,CUST0071,2026-06-09,Karachi,PECHS,Pizza,Fast Food,Card,1430,31,3,No
ORD00072,CUST0072,2026-05-13,Lahore,DHA Lahore,Bakery,Bakery,Wallet,590,60,4,Yes
ORD00073,CUST0073,2026-05-05,Karachi,Gulshan-e-Iqbal,Burgers,Cloud Kitchen,Cash,750,31,3,No
ORD00074,CUST0074,2026-05-01,Karachi,PECHS,Healthy,Cloud Kitchen,Wallet,1480,23,4,No
ORD00075,CUST0075,2026-05-20,Karachi,Gulshan-e-Iqbal,Beverages,Cafe,Cash,300,30,5,No
ORD00076,CUST0076,2026-05-31,Karachi,North Nazimabad,Burgers,Fast Food,Wallet,1240,38,4,No
ORD00077,CUST0077,2026-06-15,Karachi,Gulshan-e-Iqbal,Healthy,Cafe,Cash,1190,41,4,No
ORD00078,CUST0078,2026-05-29,Lahore,DHA Lahore,Bakery,Bakery,Cash,870,25,4,No
